observacao;idade;uf;regiao;carencia;percentual_entrada_veicu;ano_modelo_veic;idade_bem;qtde_prestacoes;vlr_principal;taxa_mensal;vlr_renda;vlr_max_renda_presum;pc_compr_renda_familiar;autonomos;taxistas;status_prop;score_sis;var_1;var_2;var_3;var_4;var_5;idade_veiculo;target
obs1700;47;SC;SUL;30;53.19;2019;2 anos;36;28482.93;1.06;4100.0;3362.0;24;N;N;EF;681;;;;;S;2;0.0
obs9025;43;SC;SUL;30;86.67;2022;0 Km;12;6387.49;0.58;3690.0;1927.0;15;N;N;EF;733;3.0;A2;BOM;A1;S;-1;0.0
obs7527;43;BA;NORDESTE;30;29.47;2022;0 Km;60;30746.89;1.3;3280.0;3198.0;0;S;N;EF;695;1.0;A4;RUIM;B3;S;-1;0.0
obs3075;68;AL;NORDESTE;30;61.02;2021;0 Km;30;24527.04;0.0;4100.0;1845.0;21;N;N;EF;720;3.0;A2;BOM;A1;N;0;0.0
obs7774;39;SC;SUL;30;33.36;2022;0 Km;60;59173.0;1.39;10660.0;1886.0;14;N;N;EF;693;3.0;A4;BOM;B3;S;-1;0.0
obs8330;62;AM;NORTE;30;0.11;2022;0 Km;60;43946.28;1.23;4018.0;2624.0;27;N;S;EF;747;3.0;A2;BOM;C3;N;-1;0.0
obs377;48;PE;NORDESTE;30;54.55;2020;2 anos;48;25485.01;1.09;6560.0;2706.0;10;N;N;EF;714;;;;;S;1;0.0
obs2198;42;RJ;SULDESTE;30;74.36;2021;0 Km;24;16600.0;0.99;8200.0;2214.0;10;N;N;EF;737;3.0;A2;BOM;A1;S;0;0.0
obs7430;45;SC;SUL;30;92.15;2022;0 Km;12;11110.19;0.58;4756.0;1558.0;21;N;N;EF;742;3.0;A1;BOM;A1;N;-1;0.0
obs4184;58;BA;NORDESTE;30;28.07;2022;0 Km;49;53939.02;1.16;5740.0;1640.0;0;S;N;EF;751;3.0;A2;BOM;B3;;-1;0.0
obs5095;56;MA;NORDESTE;30;14.97;2022;0 Km;60;36781.45;1.28;4100.0;1886.0;0;N;N;EF;724;1.0;A2;BOM;C3;N;-1;0.0
obs6219;58;PE;NORDESTE;30;24.1;2022;0 Km;49;61919.95;0.83;3977.0;1312.0;43;N;N;EF;705;2.0;A2;RUIM;B3;;-1;0.0
obs7283;38;PR;SUL;60;49.58;2019;2 anos;36;15975.01;1.18;2296.0;1312.0;24;N;N;EF;658;;;;;S;2;0.0
obs7030;50;TO;NORTE;30;32.56;2022;0 Km;49;31518.58;1.16;2460.0;1312.0;39;N;N;EF;678;2.0;A2;BOM;B3;S;-1;0.0
obs2523;45;PE;NORDESTE;30;26.83;2021;0 Km;48;31656.84;0.78;4920.0;3157.0;16;N;N;EF;755;2.0;A4;BOM;B2;S;0;0.0
obs2637;46;SC;SUL;30;20.0;2020;2 anos;48;34283.79;1.45;7380.0;1968.0;13;N;S;EF;704;;;;;S;1;0.0
obs8420;66;PB;NORDESTE;30;53.84;2022;0 Km;60;20636.56;0.99;4815.04;3485.0;0;N;N;EF;777;3.0;A2;BOM;A3;N;-1;0.0
obs6695;44;SP;SULDESTE;30;31.25;2022;0 Km;48;55477.8;1.01;16400.0;11849.0;9;N;N;EF;746;3.0;A2;BOM;B2;S;-1;0.0
obs8197;52;SP;SULDESTE;30;47.01;2017;>= 3 anos;60;35646.61;0.95;4100.0;1681.0;19;N;N;EF;670;;;;;S;4;0.0
